Source: Offline Video - long.mp4
Date & Time: 2026-07-13 18:07:59
==========================================================================================
Frame: 0129 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0130 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0131 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0132 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0133 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0134 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0135 | Phase: None            | Hip: None            | Times(ms) -> MP: 30.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0136 | Phase: None            | Hip: None            | Times(ms) -> MP: 21.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0137 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0138 | Phase: None            | Hip: None            | Times(ms) -> MP: 22.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0139 | Phase: None            | Hip: None            | Times(ms) -> MP: 27.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0140 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0141 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0142 | Phase: None            | Hip: None            | Times(ms) -> MP: 23.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0143 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0144 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0145 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0146 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0147 | Phase: None            | Hip: None            | Times(ms) -> MP: 22.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0148 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0149 | Phase: None            | Hip: None            | Times(ms) -> MP: 21.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0150 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0151 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0152 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0153 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0154 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0155 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0156 | Phase: None            | Hip: None            | Times(ms) -> MP: 23.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0157 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0158 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0159 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0160 | Phase: None            | Hip: None            | Times(ms) -> MP: 23.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0161 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0162 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0163 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0164 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0165 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0166 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0167 | Phase: High            | Hip: Good            | Times(ms) -> MP: 80.6, Feat: 00.5, Predict: 04.4, States: 00.0
Frame: 0168 | Phase: High            | Hip: Good            | Times(ms) -> MP: 72.5, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0169 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.1, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0170 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.4, Feat: 00.3, Predict: 02.9, States: 00.0
Frame: 0171 | Phase: High            | Hip: Good            | Times(ms) -> MP: 66.6, Feat: 00.2, Predict: 02.9, States: 00.1
Frame: 0172 | Phase: High            | Hip: Good            | Times(ms) -> MP: 68.2, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0173 | Phase: High            | Hip: Good            | Times(ms) -> MP: 68.6, Feat: 00.3, Predict: 04.3, States: 00.0
Frame: 0174 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.4, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0175 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 72.2, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0176 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 69.5, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0177 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 71.6, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0178 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 68.4, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0179 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.7, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0180 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 63.5, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0181 | Phase: High            | Hip: Good            | Times(ms) -> MP: 65.1, Feat: 00.3, Predict: 03.1, States: 00.0
Frame: 0182 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.6, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0183 | Phase: High            | Hip: Good            | Times(ms) -> MP: 71.0, Feat: 00.2, Predict: 03.0, States: 00.0
