Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 18:23:49
==========================================================================================
Frame: 0126 | Processed: Yes  | TS(ms): 1784571786469 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 96.2, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0128 | Processed: Yes  | TS(ms): 1784571786535 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 93.3, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0130 | Processed: Yes  | TS(ms): 1784571786601 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 93.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0132 | Processed: Yes  | TS(ms): 1784571786667 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 88.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0134 | Processed: Yes  | TS(ms): 1784571786733 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 102.2, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0136 | Processed: Yes  | TS(ms): 1784571786799 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 95.1, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0138 | Processed: Yes  | TS(ms): 1784571786865 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 100.7, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0140 | Processed: Yes  | TS(ms): 1784571786931 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 103.3, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0142 | Processed: Yes  | TS(ms): 1784571786997 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 93.5, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0144 | Processed: Yes  | TS(ms): 1784571787063 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 94.6, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0146 | Processed: Yes  | TS(ms): 1784571787129 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 106.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0148 | Processed: Yes  | TS(ms): 1784571787195 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 97.1, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0150 | Processed: Yes  | TS(ms): 1784571787261 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 144.9, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0152 | Processed: Yes  | TS(ms): 1784571787327 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 116.0, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0154 | Processed: Yes  | TS(ms): 1784571787393 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 100.4, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0156 | Processed: Yes  | TS(ms): 1784571787459 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 91.7, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0158 | Processed: Yes  | TS(ms): 1784571787525 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 98.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0160 | Processed: Yes  | TS(ms): 1784571787591 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 102.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0162 | Processed: Yes  | TS(ms): 1784571787657 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 98.3, Feat: 00.2, Predict: 00.0, States: 00.0
