Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 17:07:35
==========================================================================================
Frame: 0148 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.5, Feat: 00.1, Predict: 03.0, States: 00.0
Frame: 0149 | Phase: High            | Hip: Good            | Times(ms) -> MP: 84.2, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0150 | Phase: High            | Hip: Good            | Times(ms) -> MP: 86.4, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0151 | Phase: High            | Hip: Good            | Times(ms) -> MP: 74.3, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0152 | Phase: High            | Hip: Good            | Times(ms) -> MP: 81.7, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0153 | Phase: High            | Hip: Good            | Times(ms) -> MP: 80.9, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0154 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 77.3, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0155 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 83.6, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0156 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 81.0, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0157 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 89.0, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0158 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 84.8, Feat: 00.3, Predict: 02.8, States: 00.0
Frame: 0159 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 90.5, Feat: 00.3, Predict: 07.6, States: 00.0
Frame: 0160 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 86.6, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0161 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 91.7, Feat: 00.2, Predict: 04.2, States: 00.0
Frame: 0162 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 85.8, Feat: 00.4, Predict: 04.2, States: 00.0
Frame: 0163 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 97.2, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0164 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 93.1, Feat: 00.2, Predict: 04.7, States: 00.0
Frame: 0165 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 91.7, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0166 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 85.5, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0167 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 93.3, Feat: 00.3, Predict: 03.7, States: 00.0
Frame: 0168 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 95.9, Feat: 00.3, Predict: 06.7, States: 00.0
Frame: 0169 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 113.4, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0170 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 85.5, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0171 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 87.2, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0172 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 83.8, Feat: 00.3, Predict: 04.6, States: 00.0
Frame: 0173 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 85.6, Feat: 00.3, Predict: 05.1, States: 00.0
Frame: 0174 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 84.0, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0175 | Phase: High            | Hip: Too High        | Times(ms) -> MP: 83.2, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0176 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.7, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0177 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 94.7, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0178 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.4, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0179 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.3, Feat: 00.3, Predict: 03.1, States: 00.0
Frame: 0180 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.4, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0181 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.2, Feat: 00.2, Predict: 02.8, States: 00.0
