Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-21 09:13:31
==========================================================================================
Frame: 0100 | Processed: Yes  | TS(ms): 1784625188387 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 69.8, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0102 | Processed: Yes  | TS(ms): 1784625188453 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 76.5, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0104 | Processed: Yes  | TS(ms): 1784625188519 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 67.1, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0106 | Processed: Yes  | TS(ms): 1784625188585 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 70.1, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0108 | Processed: Yes  | TS(ms): 1784625188651 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 67.7, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0110 | Processed: Yes  | TS(ms): 1784625188717 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 70.3, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0112 | Processed: Yes  | TS(ms): 1784625188783 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 76.9, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0114 | Processed: Yes  | TS(ms): 1784625188849 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 75.2, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0116 | Processed: Yes  | TS(ms): 1784625188915 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 84.5, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0118 | Processed: Yes  | TS(ms): 1784625188981 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 64.4, Feat: 00.2, Predict: 02.7, States: 00.0
