Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 18:35:15
==========================================================================================
Frame: 0088 | Processed: Yes  | TS(ms): 1784572469601 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: False] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 128.0, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0090 | Processed: Yes  | TS(ms): 1784572469667 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: False] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 124.7, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0092 | Processed: Yes  | TS(ms): 1784572469733 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: False] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 135.1, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0094 | Processed: Yes  | TS(ms): 1784572469799 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: False] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 130.0, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0096 | Processed: Yes  | TS(ms): 1784572469865 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: False] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 130.7, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0098 | Processed: Yes  | TS(ms): 1784572469931 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: False] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 127.2, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0100 | Processed: Yes  | TS(ms): 1784572469997 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: False] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 131.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0102 | Processed: Yes  | TS(ms): 1784572470063 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 123.2, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0104 | Processed: Yes  | TS(ms): 1784572470129 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 128.9, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0106 | Processed: Yes  | TS(ms): 1784572470195 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 127.8, Feat: 00.3, Predict: 00.0, States: 00.0
